0,1,1,1
0.01,1.01257,1.25992,0.984897
0.02,1.04882,1.524,0.973127
0.03,1.10721,1.79831,0.965178
0.04,1.18687,2.08854,0.961762
0.05,1.28756,2.40015,0.963836
0.06,1.40957,2.73854,0.972644
0.07,1.55369,3.10915,0.989772
0.08,1.72115,3.51757,1.01723
0.09,1.9136,3.96961,1.05756
0.1,2.13311,4.47141,1.11396
0.11,2.38214,5.02941,1.19042
0.12,2.66358,5.65043,1.29196
0.13,2.98066,6.3416,1.42486
0.14,3.33704,7.11032,1.59693
0.15,3.73671,7.96405,1.81785
0.16,4.184,8.91012,2.0996
0.17,4.6835,9.9553,2.4569
0.18,5.23996,11.1052,2.90768
0.19,5.85812,12.3636,3.47357
0.2,6.54249,13.7311,4.18034
0.21,7.29701,15.2035,5.05819
0.22,8.12452,16.7702,6.14165
0.23,9.02618,18.4115,7.469
0.24,10.0006,20.0954,9.08078
0.25,11.0428,21.7752,11.017
0.26,12.1429,23.3858,13.3128
0.27,13.2849,24.8428,15.9918
0.28,14.4452,26.0419,19.0577
0.29,15.592,26.8638,22.4846
0.3,16.6846,27.183,26.2068
0.31,17.6744,26.8831,30.1126
0.32,18.5079,25.8765,34.0441
0.33,19.1303,24.1266,37.8064
0.34,19.492,21.6653,41.1892
0.35,19.5547,18.5998,43.9963
0.36,19.2973,15.1047,46.0782
0.37,18.7197,11.397,47.3564
0.38,17.8433,7.70327,47.8348
0.39,16.7077,4.22474,47.5917
0.4,15.3659,1.1127,46.759
0.41,13.8773,-1.54276,45.4945
0.42,12.3012,-3.71027,43.9553
0.43,10.6919,-5.40537,42.2795
0.44,9.09548,-6.6749,40.5761
0.45,7.54824,-7.58206,38.9226
0.46,6.0767,-8.19464,37.3683
0.47,4.69851,-8.57719,35.9399
0.48,3.42386,-8.78672,34.6471
0.49,2.25696,-8.87097,33.489
0.5,1.19756,-8.86842,32.4577
0.51,0.242177,-8.80911,31.5419
0.52,-0.614855,-8.71598,30.729
0.53,-1.38054,-8.6061,30.0066
0.54,-2.06261,-8.49196,29.363
0.55,-2.66909,-8.38251,28.788
0.56,-3.20792,-8.28394,28.2728
0.57,-3.68679,-8.20043,27.8098
